Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Team_name,Seed,Col_10,multi_event_points,Col_12,Col_13,Col_14,Col_15,Col_16,Event_sex,Event_name,Seed_numeric,is_lower_better,Rank,score
1,4,Rachel,FORSYTH,FR,588,Michigan State,MIST,15:30.50,,15:30.50,,Final,track,58,f,Women,5000 M,930.5,True,15.0,0.0
1,1,Edna,CHELULEI,FR,274,Eastern Kentucky,EKU,15:30.56,,15:30.56,,Final,track,58,f,Women,5000 M,930.56,True,16.0,0.0
1,7,Isca,CHELANGAT,FR,747,Oklahoma State,OKST,15:31.35,,15:31.35,,Final,track,58,f,Women,5000 M,931.35,True,17.0,0.0
1,12,Ava,MITCHELL,SO,703,Northern Arizona,NAU,15:31.41,,15:31.41,,Final,track,58,f,Women,5000 M,931.41,True,18.0,0.0
1,13,Maelle,PORCHER,JR,415,Iowa State,IAST,15:32.59,,15:32.59,,Final,track,58,f,Women,5000 M,932.59,True,19.0,0.0
1,6,Brenda,JEPCHIRCHIR,FR,113,Auburn,AUB,15:33.50,,15:33.50,,Final,track,58,f,Women,5000 M,933.5,True,20.0,0.0
1,5,Sadie,SIGFSTEAD,JR,1173,Villanova,NOVA,15:33.68,,15:33.68,,Final,track,58,f,Women,5000 M,933.68,True,21.0,0.0
1,19,Amina,MAATOUG,SR,1205,Washington,WASH,15:37.55,,15:37.38,,Final,track,58,f,Women,5000 M,937.55,True,22.0,0.0
1,3,Julia,DAVID-SMITH,JR,1202,Washington,WASH,15:43.30,,15:43.30,,Final,track,58,f,Women,5000 M,943.3,True,23.0,0.0
1,8,Agnes,MCTIGHE,JR,702,Northern Arizona,NAU,15:44.82,,15:44.82,,Final,track,58,f,Women,5000 M,944.82,True,24.0,0.0
1,5,Michaela,ROSE,SR,555,LSU,LSU,1:58.12,,1:58.12,,Final,track,55,f,Women,800 M,118.12,True,1.0,10.0
1,3,Meghan,HUNTER,SR,178,BYU,BYU,1:58.95,,1:58.95,,Final,track,55,f,Women,800 M,118.95,True,2.0,8.0
1,2,Smilla,KOLBE,SR,710,North Florida,UNF,1:59.02,,1:59.02,,Final,track,55,f,Women,800 M,119.02000000000001,True,3.0,6.0
1,7,Lauren,TOLBERT,JR,261,Duke,DUKE,1:59.39,,1:59.39,,Final,track,55,f,Women,800 M,119.39,True,4.0,5.0
1,1,Victoria,BOSSONG,SR,371,Harvard,HARV,1:59.48,,1:59.48,,Final,track,55,f,Women,800 M,119.47999999999999,True,5.0,4.0
1,6,Makayla,PAIGE,JR,713,North Carolina,UNC,1:59.73,,1:59.73,,Final,track,55,f,Women,800 M,119.72999999999999,True,6.0,3.0
1,4,Roisin,WILLIS,JR,930,Stanford,STAN,1:59.81,,1:59.81,,Final,track,55,f,Women,800 M,119.81,True,7.0,2.0
1,8,Veronica,HARGRAVE,FR,440,Indiana,IU,2:00.51,,2:00.51,,Final,track,55,f,Women,800 M,120.51,True,8.0,1.0
1,9,Laura,PELLICORO,SR,834,Portland,PORT,2:01.07,,2:01.07,,Final,track,55,f,Women,800 M,121.07,True,9.0,0.0
2,2,Jayden,ULRICH,SR,542,Louisville,LOU,66.14m,217-0,66.14m,217-0,Finals,field,60,f,Women,Discus,66.14,False,1.0,10.0
2,11,Alida,VAN DAALEN,JR,309,Florida,UF,65.45m,214-8,65.45m,214-8,Finals,field,60,f,Women,Discus,65.45,False,2.0,8.0
2,9,Cierra,JACKSON,SR,324,Fresno State,FRES,64.42m,211-4,64.42m,211-4,Finals,field,60,f,Women,Discus,64.42,False,3.0,6.0
1,4,Michaelle,VALENTIN,SR,278,FIU,FIU,62.17m,203-11,62.17m,203-11,Finals,field,60,f,Women,Discus,62.17,False,4.0,5.0
2,5,Shelby,FRANK,SR,1060,Texas Tech,TTU,62.14m,203-10,62.14m,203-10,Finals,field,60,f,Women,Discus,62.14,False,5.0,4.0
2,6,Caisa-Marie,LINDFORS,SR,199,California,CAL,61.52m,201-10,61.52m,201-10,Finals,field,60,f,Women,Discus,61.52,False,6.0,3.0
2,1,Sofia,SLUCHANINOVA,JR,478,Kansas,KU,60.21m,197-6,60.21m,197-6,Finals,field,60,f,Women,Discus,60.21,False,7.0,2.0
2,10,Amanda,NGANDU-NTUMBA,SR,211,Cincinnati,CINC,60.10m,197-2,60.10m,197-2,Finals,field,60,f,Women,Discus,60.1,False,8.0,1.0
1,10,Milina,WEPIWE,SO,379,Harvard,HARV,59.75m,196-0,59.75m,196-0,Finals,field,60,f,Women,Discus,59.75,False,9.0,0.0
1,3,Zoe,BURLESON,SR,1058,Texas Tech,TTU,59.49m,195-2,59.49m,195-2,Finals,field,60,f,Women,Discus,59.49,False,10.0,0.0
2,4,Jade,WHITFIELD,SR,543,Louisville,LOU,58.80m,192-11,58.80m,192-11,Finals,field,60,f,Women,Discus,58.8,False,11.0,0.0
1,5,Donna,DOUGLAS,FR,971,Tennessee,TENN,58.78m,192-10,58.78m,192-10,Finals,field,60,f,Women,Discus,58.78,False,12.0,0.0
1,2,Klaire,KOVATCH,JR,233,Colorado State,COST,57.92m,190-0,57.92m,190-0,Finals,field,60,f,Women,Discus,57.92,False,13.0,0.0
2,3,Taylor,KESNER,JR,1223,Wisconsin,WISC,57.83m,189-8,57.83m,189-8,Finals,field,60,f,Women,Discus,57.83,False,14.0,0.0
1,1,Ines,LOPEZ,JR,130,Arizona State,AZST,57.56m,188-10,57.56m,188-10,Finals,field,60,f,Women,Discus,57.56,False,15.0,0.0
1,7,Adrienne,ADAMS,SR,109,Auburn,AUB,57.30m,188-0,57.76m,189-6,Finals,field,60,f,Women,Discus,57.3,False,16.0,0.0
1,9,Estel,VALEANU,SR,1181,Virginia,UVA,57.28m,187-11,57.28m,187-11,Finals,field,60,f,Women,Discus,57.28,False,17.0,0.0
2,7,Angeludi,ASAAH,JR,810,Penn,PENN,57.04m,187-2,57.04m,187-2,Finals,field,60,f,Women,Discus,57.04,False,18.0,0.0
1,6,Gretchen,HOEKSTRE,SR,177,BYU,BYU,56.24m,184-6,57.04m,187-2,Finals,field,60,f,Women,Discus,56.24,False,19.0,0.0
1,12,Paige,LOW,SR,763,Oklahoma,OU,56.04m,183-10,58.40m,191-7,Finals,field,60,f,Women,Discus,56.04,False,20.0,0.0
2,12,Tamaiah,KOONCE,JR,523,Kansas State,KSST,55.99m,183-8,56.14m,184-2,Finals,field,60,f,Women,Discus,55.99,False,21.0,0.0
1,11,Krishna,JAYASANKAR MENON,JR,1110,UNLV,UNLV,55.61m,182-5,55.61m,182-5,Finals,field,60,f,Women,Discus,55.61,False,22.0,0.0
2,8,Princesse,HYMAN,FR,552,LSU,LSU,55.49m,182-0,55.49m,182-0,Finals,field,60,f,Women,Discus,55.49,False,23.0,0.0
1,8,Jamora,ALVES,JR,923,St. John's,SJON,54.33m,178-3,54.33m,178-3,Finals,field,60,f,Women,Discus,54.33,False,24.0,0.0
1,7,Temitope,ADESHINA,SO,1055,Texas Tech,TTU,1.97m,6-5&frac12;,1.97m,6-5&frac12;,Final,field,61,f,Women,High Jump,1.97,False,1.0,10.0
1,6,Rose,YEBOAH,SR,434,Illinois,ILL,1.91m,6-3&frac14;,1.97m,6-5&frac12;,Final,field,61,f,Women,High Jump,1.91,False,2.0,8.0
1,9,Kristi,PEREZ-SNYMAN,SR,628,Missouri,MIZZ,1.90m,6-2&frac34;,1.90m,6-2&frac34;,Final,field,61,f,Women,High Jump,1.9,False,3.0,6.0
1,1,Elena,KULICHENKO,SR,341,Georgia,UGA,1.89m,6-2&frac14;,1.97m,6-5&frac12;,Final,field,61,f,Women,High Jump,1.89,False,4.0,5.0
1,10,Jenna,ROGERS,SR,677,Nebraska,NEB,1.88m,6-2,1.88m,6-2,Final,field,61,f,Women,High Jump,1.88,False,5.0,3.0
1,8,Maria,ARBOLEDA,FR,445,Iowa,IOWA,1.88m,6-2,1.88m,6-2,Final,field,61,f,Women,High Jump,1.88,False,5.0,3.0
1,24,Sharie,ENOE,SO,520,Kansas State,KSST,1.88m,6-2,1.88m,6-2,Final,field,61,f,Women,High Jump,1.88,False,5.0,3.0
1,23,Cheyla,SCOTT,JR,897,South Carolina,SCAR,1.87m,6-1&frac12;,1.88m,6-2,Final,field,61,f,Women,High Jump,1.87,False,8.0,1.0
1,15,Celia,RIFATERRA,JR,1178,Virginia,UVA,1.86m,6-1&frac14;,1.86m,6-1&frac14;,Final,field,61,f,Women,High Jump,1.86,False,9.0,0.0
1,21,Claudina,DIAZ,SR,627,Missouri,MIZZ,1.85m,6-&frac34;,1.85m,6-&frac34;,Final,field,61,f,Women,High Jump,1.85,False,10.0,0.0
1,12,Spirit,MORGAN,JR,644,N. Carolina A&T,NCAT,1.85m,6-&frac34;,1.85m,6-&frac34;,Final,field,61,f,Women,High Jump,1.85,False,10.0,0.0
1,13,Alyssa,JONES,JR,927,Stanford,STAN,1.84m,6-&frac12;,1.84m,6-&frac12;,Final,field,61,f,Women,High Jump,1.84,False,12.0,0.0
1,16,Ajia,HUGHES,JR,889,Southern Utah,SUU,1.83m,6-0,1.83m,6-0,Final,field,61,f,Women,High Jump,1.83,False,13.0,0.0
1,2,Valentina,FAKROGHA,FR,1092,UCLA,UCLA,1.83m,6-0,1.83m,6-0,Final,field,61,f,Women,High Jump,1.83,False,13.0,0.0
1,18,Eva,BALDURSDOTTIR,JR,827,Pittsburgh,PITT,1.82m,5-11&frac12;,1.82m,5-11&frac12;,Final,field,61,f,Women,High Jump,1.82,False,15.0,0.0
1,19,Miracle,AILES,SR,17,Alabama,BAMA,1.82m,5-11&frac12;,1.85m,6-&frac34;,Final,field,61,f,Women,High Jump,1.82,False,15.0,0.0
1,22,Alice,TAYLOR,SO,857,Rice,RICE,1.82m,5-11&frac12;,1.91m,6-3&frac14;,Final,field,61,f,Women,High Jump,1.82,False,15.0,0.0
1,5,Amaya,UGARTE,SR,736,Ohio State,OHST,1.82m,5-11&frac12;,1.85m,6-&frac34;,Final,field,61,f,Women,High Jump,1.82,False,15.0,0.0
1,14,Diamonasia,TAYLOR,SO,642,Murray State,MURR,1.81m,5-11&frac14;,1.81m,5-11&frac14;,Final,field,61,f,Women,High Jump,1.81,False,19.0,0.0
1,3,Zharia,TAYLOR,JR,1082,UC Irvine,UCI,1.81m,5-11&frac14;,1.81m,5-11&frac14;,Final,field,61,f,Women,High Jump,1.81,False,19.0,0.0
1,11,Carly,TARENTINO,SR,1180,Virginia,UVA,1.80m,5-10&frac34;,1.80m,5-10&frac34;,Final,field,61,f,Women,High Jump,1.8,False,21.0,0.0
1,4,Svenia,DECONINCK,JR,490,Kent State,KENT,1.79m,5-10&frac12;,1.79m,5-10&frac12;,Final,field,61,f,Women,High Jump,1.79,False,22.0,0.0
1,17,Zahra,AMOS,SR,170,Buffalo,BUFF,1.79m,5-10&frac12;,1.79m,5-10&frac12;,Final,field,61,f,Women,High Jump,1.79,False,22.0,0.0
1,20,Kendall,WARD,SO,329,Georgia Tech,GT,1.79m,5-10&frac12;,1.79m,5-10&frac12;,Final,field,61,f,Women,High Jump,1.79,False,22.0,0.0
2,6,Winny,BII,JR,1019,Texas A&M,TAMU,14.01m,45-11&frac34;,14.01m,45-11&frac34;,Finals,field,62,f,Women,Triple Jump,14.01,False,1.0,8.0
2,4,Agur,DWOL,JR,758,Oklahoma,OU,14.01m,45-11&frac34;,14.02m,46-0,Finals,field,62,f,Women,Triple Jump,14.01,False,1.0,8.0
2,2,Shantae,FOREMAN,JR,219,Clemson,CLEM,14.01m,45-11&frac34;,14.01m,45-11&frac34;,Finals,field,62,f,Women,Triple Jump,14.01,False,1.0,8.0
2,10,Victoria,GORLOVA,SR,1061,Texas Tech,TTU,13.99m,45-10&frac34;,13.99m,45-10&frac34;,Finals,field,62,f,Women,Triple Jump,13.99,False,4.0,5.0
1,12,Emilia,SJOSTRAND,SR,881,San Jose St.,SJSU,13.78m,45-2&frac12;,13.92m,45-8,Finals,field,62,f,Women,Triple Jump,13.78,False,5.0,4.0
2,1,Daniela,WAMOKPEGO,SO,457,Iowa,IOWA,13.67m,44-10&frac14;,13.67m,44-10&frac14;,Finals,field,62,f,Women,Triple Jump,13.67,False,6.0,3.0
2,8,Simone,JOHNSON,SR,880,San Jose St.,SJSU,13.63m,44-8&frac34;,13.63m,44-8&frac34;,Finals,field,62,f,Women,Triple Jump,13.63,False,7.0,1.5
2,3,Tamiah,WASHINGTON,SO,1066,Texas Tech,TTU,13.63m,44-8&frac34;,13.63m,44-8&frac34;,Finals,field,62,f,Women,Triple Jump,13.63,False,7.0,1.5
1,3,Ryann,PORTER,SR,799,Oregon,UO,13.55m,44-5&frac12;,13.55m,44-5&frac12;,Finals,field,62,f,Women,Triple Jump,13.55,False,9.0,0.0
2,12,Skylynn,TOWNSEND,FR,351,Georgia,UGA,13.50m,44-3&frac12;,13.50m,44-3&frac12;,Finals,field,62,f,Women,Triple Jump,13.5,False,10.0,0.0
1,10,Katharina,GRAMAN,SO,878,San Jose St.,SJSU,13.50m,44-3&frac12;,13.50m,44-3&frac12;,Finals,field,62,f,Women,Triple Jump,13.5,False,10.0,0.0
1,4,Ashley,MOORE,SR,764,Oklahoma,OU,13.48m,44-2&frac34;,13.48m,44-2&frac34;,Finals,field,62,f,Women,Triple Jump,13.48,False,12.0,0.0
1,11,Rachela,PACE,SR,1157,UTSA,UTSA,13.46m,44-2,13.46m,44-2,Finals,field,62,f,Women,Triple Jump,13.46,False,13.0,0.0
1,1,Shalom,OLOTU,SR,524,Kansas State,KSST,13.45m,44-1&frac12;,13.45m,44-1&frac12;,Finals,field,62,f,Women,Triple Jump,13.45,False,14.0,0.0
1,9,Georgina,SCOOT,JR,838,Princeton,PRIN,13.36m,43-10,13.36m,43-10,Finals,field,62,f,Women,Triple Jump,13.36,False,15.0,0.0
1,7,Christina,WARREN,SR,582,Miami (Fla.),MIAF,13.35m,43-9&frac34;,13.35m,43-9&frac34;,Finals,field,62,f,Women,Triple Jump,13.35,False,16.0,0.0
2,11,Asia,PHILLIPS,FR,308,Florida,UF,13.33m,43-8&frac34;,13.33m,43-8&frac34;,Finals,field,62,f,Women,Triple Jump,13.33,False,17.0,0.0
2,7,Machaeda,LINTON,JR,553,LSU,LSU,13.25m,43-5&frac34;,13.25m,43-5&frac34;,Finals,field,62,f,Women,Triple Jump,13.25,False,18.0,0.0
2,9,Olivia,DOWD,JR,643,N. Carolina A&T,NCAT,13.22m,43-4&frac12;,13.22m,43-4&frac12;,Finals,field,62,f,Women,Triple Jump,13.22,False,19.0,0.0
1,2,Jada,JOSEPH,SR,168,Brown,BRWN,13.15m,43-1&frac34;,13.15m,43-1&frac34;,Finals,field,62,f,Women,Triple Jump,13.15,False,20.0,0.0
2,5,Sophie,GALLOWAY,JR,497,Kentucky,UK,13.08m,42-11,13.08m,42-11,Finals,field,62,f,Women,Triple Jump,13.08,False,21.0,0.0
1,6,Cameran,GIST,FR,894,South Carolina,SCAR,13.07m,42-10&frac34;,13.07m,42-10&frac34;,Finals,field,62,f,Women,Triple Jump,13.07,False,22.0,0.0
1,5,Sharvari,PARULEKAR,JR,539,Louisville,LOU,13.02m,42-8&frac34;,13.46m,44-2,Finals,field,62,f,Women,Triple Jump,13.02,False,23.0,0.0
1,8,Kayla,PINKARD,JR,286,Florida State,FSU,13.01m,42-8&frac14;,13.01m,42-8&frac14;,Finals,field,62,f,Women,Triple Jump,13.01,False,24.0,0.0
